source,date,country,countrycode,adm_area_1,adm_area_2,adm_area_3,tested,confirmed,recovered,dead,hospitalised,hospitalised_icu,quarantined,gid
IRQ_GOV,13-07-2020,Iraq,IRQ,Sala ad-Din,,,,1830,301,48,,,,['IRQ.17_1']
IRQ_GOV,13-07-2020,Iraq,IRQ,Al-Anbar,,,,643,495,32,,,,['IRQ.1_1']
IRQ_GOV,13-07-2020,Iraq,IRQ,Ninawa,,,,443,273,7,,,,['IRQ.16_1']
IRQ_GOV,13-07-2020,Iraq,IRQ,An-Najaf,,,,3960,2117,72,,,,['IRQ.5_1']
IRQ_GOV,13-07-2020,Iraq,IRQ,Al-Muthannia,,,,1103,595,43,,,,['IRQ.3_1']
IRQ_GOV,13-07-2020,Iraq,IRQ,Maysan,,,,3789,2955,179,,,,['IRQ.15_1']
IRQ_GOV,13-07-2020,Iraq,IRQ,At-Ta'mim,,,,2333,1032,119,,,,['IRQ.8.4_1']
IRQ_GOV,13-07-2020,Iraq,IRQ,Karbala',,,,3239,2164,106,,,,['IRQ.14_1']
IRQ_GOV,13-07-2020,Iraq,IRQ,Arbil,,,,2288,1529,49,,,,['IRQ.6_1']
IRQ_GOV,13-07-2020,Iraq,IRQ,Diyala,,,,2102,1335,103,,,,['IRQ.13_1']
IRQ_GOV,13-07-2020,Iraq,IRQ,Al-Qadisiyah,,,,3239,1846,109,,,,['IRQ.4.1_1']
IRQ_GOV,13-07-2020,Iraq,IRQ,Babil,,,,2938,1600,83,,,,['IRQ.9_1']
IRQ_GOV,13-07-2020,Iraq,IRQ,Dihok,,,,275,184,0,,,,['IRQ.12_1']
IRQ_GOV,13-07-2020,Iraq,IRQ,Al-Basrah,,,,5731,3073,215,,,,['IRQ.2_1']
